ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Total points;Quiz feedback;Heure de la dernière modification;This will be anonymous, so name your favourite singer instead (we'll use this as practice later);Points - This will be anonymous, so name your favourite singer instead (we'll use this as practice later);Feedback - This will be anonymous, so name your favourite singer instead (we'll use this as practice later);Points - What's your level of interest in the following topics? 1 = lowest level of interest.;Feedback - What's your level of interest in the following topics? 1 = lowest level of interest.;Data analysis;Points - Data analysis;Feedback - Data analysis;Coding;Points - Coding;Feedback - Coding;How much experience do you have with data analysis more generally? 1 = lowest level of experience.;Points - How much experience do you have with data analysis more generally? 1 = lowest level of experience.;Feedback - How much experience do you have with data analysis more generally? 1 = lowest level of experience.;How much experience do you have with the R language? 1 = lowest level of experience.;Points - How much experience do you have with the R language? 1 = lowest level of experience.;Feedback - How much experience do you have with the R language? 1 = lowest level of experience.;How much experience do you have with the Terminal? 1 = lowest level of experience.;Points - How much experience do you have with the Terminal? 1 = lowest level of experience.;Feedback - How much experience do you have with the Terminal? 1 = lowest level of experience.;Which of the following does NOT assign a value to a variable?;Points - Which of the following does NOT assign a value to a variable?;Feedback - Which of the following does NOT assign a value to a variable?;Which of these functions do we use to create a new column in our data?;Feedback - Which of these functions do we use to create a new column in our data?;Points - Which of these functions do we use to create a new column in our data?;Which of these functions do we use to remove a column from our data?;Feedback - Which of these functions do we use to remove a column from our data?;Points - Which of these functions do we use to remove a column from our data?;Which of these functions do we use to remove rows from our data?;Feedback - Which of these functions do we use to remove rows from our data?;Points - Which of these functions do we use to remove rows from our data?;"When we import a csv file, a column called ""Participant"" where each participant has a number (e.g., 1, 4, 23, 87) will be classified as";"Feedback - When we import a csv file, a column called ""Participant"" where each participant has a number (e.g., 1, 4, 23, 87) will be classified as";"Points - When we import a csv file, a column called ""Participant"" where each participant has a number (e.g., 1, 4, 23, 87) will be classified as";If we want to examine the effect of a continuous variable on another continuous variable, which geom should we use?;Feedback - If we want to examine the effect of a continuous variable on another continuous variable, which geom should we use?;Points - If we want to examine the effect of a continuous variable on another continuous variable, which geom should we use?;The horizontal line in a box plot represents;Feedback - The horizontal line in a box plot represents;Points - The horizontal line in a box plot represents;The default behaviour of stat_summary() generates;Feedback - The default behaviour of stat_summary() generates;Points - The default behaviour of stat_summary() generates;What's a typical problem with data from Microsoft Forms, Google Forms, etc.?;Feedback - What's a typical problem with data from Microsoft Forms, Google Forms, etc.?;Points - What's a typical problem with data from Microsoft Forms, Google Forms, etc.?;"Which of the following best describes the role of the aes() function in ggplot2?
";"Points - Which of the following best describes the role of the aes() function in ggplot2?
";"Feedback - Which of the following best describes the role of the aes() function in ggplot2?
";"How easy/difficult was this survey? 1 = easy; 5 = difficult";"Points - How easy/difficult was this survey? 1 = easy; 5 = difficult";"Feedback - How easy/difficult was this survey? 1 = easy; 5 = difficult";Which of the following AIs do you typically use?;Points - Which of the following AIs do you typically use?;Feedback - Which of the following AIs do you typically use?;Have you used any AI agents in the terminal?;Points - Have you used any AI agents in the terminal?;Feedback - Have you used any AI agents in the terminal?;Which of the tools below do you use in your workflow to produce articles/reports/documents?;Points - Which of the tools below do you use in your workflow to produce articles/reports/documents?;Feedback - Which of the tools below do you use in your workflow to produce articles/reports/documents?
1;6-13-26 13:11:16;6-13-26 13:13:28;anonymous;;;;;Billie Eilish;;;;;5;;;3;;;4;;;4;;;3;;;"""Hello"" -> x";;;mutate();;;mutate();;;filter();;;a numeric vector;;;geom_point();;;the median;;;means and standard errors;;;the resulting data object is not tidy;;;It specifies the mappings between variables and visual properties;;;5;;;"Claude;";;;Yes;;;"LaTeX;Quarto;EndNote, Mendeley, Zotero;";;
2;6-13-26 13:11:11;6-13-26 13:13:28;anonymous;;;;;Whitney Houston;;;;;5;;;5;;;3;;;3;;;3;;;"x == ""Hello""";;;mutate();;;select();;;filter();;;a numeric vector;;;geom_point();;;the median;;;means and standard errors;;;the resulting data object is not tidy;;;It specifies the mappings between variables and visual properties;;;3;;;"Gemini;";;;No;;;"Office (or similar suites);";;
3;6-13-26 13:10:52;6-13-26 13:13:58;anonymous;;;;;Morgan Wallen;;;;;5;;;5;;;3;;;3;;;1;;;"x == ""Hello""";;;add_col();;;select();;;select();;;a numeric vector;;;geom_point();;;the mean;;;means and standard deviations;;;the resulting data object is not tidy;;;It defines the color palette used for the plot;;;3;;;"GPT;Other;";;;No;;;"Office (or similar suites);";;
4;6-13-26 13:11:23;6-13-26 13:14:09;anonymous;;;;;Rick Astley;;;;;4;;;4;;;3;;;3;;;2;;;"x == ""Hello""";;;mutate();;;select();;;filter();;;a numeric vector;;;geom_point();;;the median;;;means and standard deviations;;;the resulting data object is not tidy;;;It specifies the mappings between variables and visual properties;;;2;;;"GPT;";;;No;;;"LaTeX;Office (or similar suites);";;
5;6-13-26 13:11:14;6-13-26 13:14:29;anonymous;;;;;terence;;;;;2;;;2;;;2;;;1;;;1;;;"x = ""Hello""";;;add_col();;;mutate();;;select();;;a numeric vector;;;stat_summary();;;the mean;;;means and standard deviations;;;the resulting data object is not tidy;;;It specifies the mappings between variables and visual properties;;;4;;;"Other;";;;No;;;"Office (or similar suites);";;
6;6-13-26 13:11:21;6-13-26 13:15:00;anonymous;;;;;Jackie;;;;;4;;;4;;;4;;;4;;;1;;;"""Hello"" -> x";;;add_col();;;mutate();;;mutate();;;a character vector;;;geom_col();;;the mean;;;means and standard deviations;;;there's only one observation per row;;;It specifies the mappings between variables and visual properties;;;3;;;"GPT;Gemini;";;;No;;;"Office (or similar suites);EndNote, Mendeley, Zotero;";;
7;6-13-26 13:11:16;6-13-26 13:15:08;anonymous;;;;;Olivia dean;;;;;3;;;3;;;4;;;3;;;3;;;"x = ""Hello""";;;add_col();;;filter();;;select();;;a factor;;;geom_point();;;the median;;;means and standard deviations;;;there's only one observation per row;;;It specifies the mappings between variables and visual properties;;;3;;;"Gemini;Claude;";;;Yes;;;"LaTeX;EndNote, Mendeley, Zotero;";;
8;6-13-26 13:11:19;6-13-26 13:15:12;anonymous;;;;;Bad Bunny;;;;;5;;;5;;;5;;;2;;;1;;;"""Hello"" -> x";;;add_col();;;select();;;filter();;;a numeric vector;;;geom_point();;;the mean;;;means and standard deviations;;;there's only one observation per row;;;It specifies the mappings between variables and visual properties;;;4;;;"GPT;Gemini;";;;No;;;"Office (or similar suites);EndNote, Mendeley, Zotero;";;
9;6-13-26 13:11:13;6-13-26 13:15:32;anonymous;;;;;Jalraj;;;;;3;;;2;;;3;;;3;;;1;;;"x = ""Hello""";;;mutate();;;mutate();;;mutate();;;a character vector;;;geom_point();;;the mean;;;means and standard errors;;;the resulting data object is not tidy;;;It defines the color palette used for the plot;;;4;;;"GPT;";;;No;;;"Office (or similar suites);";;
10;6-13-26 13:11:15;6-13-26 13:16:12;anonymous;;;;;Stromae;;;;;3;;;2;;;3;;;2;;;1;;;"x == ""Hello""";;;mutate();;;select();;;filter();;;a numeric vector;;;geom_point();;;the median;;;means and standard errors;;;no information on dates is provided;;;It specifies the mappings between variables and visual properties;;;2;;;"GPT;Gemini;";;;No;;;"Office (or similar suites);";;
